NULL,BAKING,'Apples
NULL,BAKING,'Apricots
NULL,BAKING,'Bananas
NULL,BAKING,'Blackberries
NULL,BAKING,'Blood Oranges
NULL,BAKING,'Blueberries
NULL,BAKING,'Cantaloupe
NULL,BAKING,'Casaba Melon
NULL,BAKING,'Cherries
NULL,BAKING,'Christmas Melon
NULL,BAKING,'Cranberries
NULL,BAKING,'Dates
NULL,BAKING,'Dried Apricots
NULL,BAKING,'Dried Fruit
NULL,BAKING,'Empire Apples
NULL,BAKING,'Fresh Asian Pears
NULL,BAKING,'Fresh Bartlett Pears
NULL,BAKING,'Fresh Coconut
NULL,BAKING,'Fresh Figs
NULL,BAKING,'Fresh Fruit
NULL,BAKING,'Fresh Limes
NULL,BAKING,'Fresh Pears
NULL,BAKING,'Fresh Plums
NULL,BAKING,'Fuji Apples
NULL,BAKING,'Gala Apples
NULL,BAKING,'Golden Delicious Apples
NULL,BAKING,'Granny Smith Apples
NULL,BAKING,'Green Apples
NULL,BAKING,'Grapefruit
NULL,BAKING,'Grapes
NULL,BAKING,'Green Grapes
NULL,BAKING,'Green Seedless Grapes
NULL,BAKING,'Honey Dew Melon
NULL,BAKING,'Ida Red Apples
NULL,BAKING,'Jonathan Apples 
NULL,BAKING,'Kiwi
NULL,BAKING,'Kumquats 
NULL,BAKING,'Lemons
NULL,BAKING,'Macoun Apples
NULL,BAKING,'Mandarin Oranges
NULL,BAKING,'Mangos
NULL,BAKING,'McIntosh Apples
NULL,BAKING,'Moro Oranges
NULL,BAKING,'Muskmelon
NULL,BAKING,'Navel Oranges
NULL,BAKING,'Nectarines
NULL,BAKING,'Oranges
NULL,BAKING,'Papaya
NULL,BAKING,'Peaches
NULL,BAKING,'Persian Melon
NULL,BAKING,'Pineapples
NULL,BAKING,'Plantains
NULL,BAKING,'plums
NULL,BAKING,'Pomegranate
NULL,BAKING,'Prickly Pears
NULL,BAKING,'Prunes
NULL,BAKING,'Raspberries
NULL,BAKING,'Red Apples
NULL,BAKING,'Red Delicious Apples
NULL,BAKING,'Red Grapes
NULL,BAKING,'Winesap Apples
NULL,BAKING,'Watermelon
NULL,BAKING,'Red Rome Apples
NULL,BAKING,'Red Seedless Grapes
NULL,BAKING,'Star Fruit
NULL,BAKING,'Strawberries
NULL,BAKING,'Tangerines
NULL,BAKING,'Valencia Oranges
NULL,BAKING,'Washington Apples
NULL,BAKING,'Yellow Apples
NULL,BAKING,'Cortland Apples 
NULL,BAKING,'Crenshaw Melon